WKT,order,lat,lon,count
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993712.61901559 1977855.58799892)",Coleoptera,1977855.58799892,5993712.61901559,"46"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5995099.13682924 1977472.93579782)",Hymenoptera,1977472.93579782,5995099.13682924,"1"
"POINT (5996669.36288598 1979531.80077575)",Odonata,1979531.80077575,5996669.36288598,"1"
"POINT (5994303.52509747 1978110.9581044)",Lepidoptera,1978110.9581044,5994303.52509747,"1"
"POINT (5994036.31832671 1977840.42485135)",Decapoda,1977840.42485135,5994036.31832671,"1"
"POINT (5995102.27120613 1976091.19450864)",Hymenoptera,1976091.19450864,5995102.27120613,"1"
"POINT (5995650.28902042 1976084.23262727)",Decapoda,1976084.23262727,5995650.28902042,"1"
"POINT (5995069.05392426 1975831.20296646)",Decapoda,1975831.20296646,5995069.05392426,"1"
"POINT (5995104.00729085 1975796.69916794)",Decapoda,1975796.69916794,5995104.00729085,"1"
"POINT (5995759.50530506 1978556.91895277)",Odonata,1978556.91895277,5995759.50530506,"1"
"POINT (5995126.60502027 1975795.18486908)",Decapoda,1975795.18486909,5995126.60502027,"1"
"POINT (5994424.90681691 1978729.64321357)",Hymenoptera,1978729.64321357,5994424.90681691,"1"
"POINT (5993687.23620948 1978110.85258929)",Coleoptera,1978110.85258929,5993687.23620948,"135"
"POINT (5994723.61358023 1977072.2951303)",Coleoptera,1977072.2951303,5994723.61358023,"283"
"POINT (5995670.30299399 1976122.07721256)",Decapoda,1976122.07721256,5995670.30299399,"1"
"POINT (5995144.68984613 1976649.84484117)",Hymenoptera,1976649.84484117,5995144.68984613,"1"
"POINT (5995400.97049429 1976400.09512269)",Hymenoptera,1976400.09512269,5995400.97049429,"1"
"POINT (5994491.12648413 1979544.09248941)",Araneae,1979544.09248941,5994491.12648413,"1"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5993982.09293703 1977908.77743342)",Hymenoptera,1977908.77743342,5993982.09293703,"45"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5993982.09293703 1977908.77743342)",Hymenoptera,1977908.77743342,5993982.09293703,"45"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5993982.09293703 1977908.77743342)",Hymenoptera,1977908.77743342,5993982.09293703,"45"
"POINT (5994036.56144064 1977434.5779758)",Hymenoptera,1977434.5779758,5994036.56144064,"8"
"POINT (5993982.09293703 1977908.77743342)",Hymenoptera,1977908.77743342,5993982.09293703,"45"
"POINT (5993982.09293703 1977908.77743342)",Hymenoptera,1977908.77743342,5993982.09293703,"45"
"POINT (5993982.09293703 1977908.77743342)",Hymenoptera,1977908.77743342,5993982.09293703,"45"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5993982.09293703 1977908.77743342)",Hymenoptera,1977908.77743342,5993982.09293703,"45"
"POINT (5993982.09293703 1977908.77743342)",Hymenoptera,1977908.77743342,5993982.09293703,"45"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5993982.09293703 1977908.77743342)",Hymenoptera,1977908.77743342,5993982.09293703,"45"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5993982.09293703 1977908.77743342)",Hymenoptera,1977908.77743342,5993982.09293703,"45"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5993982.09293703 1977908.77743342)",Hymenoptera,1977908.77743342,5993982.09293703,"45"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5995076.26225593 1976410.53046803)",Hymenoptera,1976410.53046803,5995076.26225593,"19"
"POINT (5993982.09293703 1977908.77743342)",Hymenoptera,1977908.77743342,5993982.09293703,"45"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994344.38554373 1977763.68044474)",Hymenoptera,1977763.68044474,5994344.38554373,"55"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5994633.00685447 1978679.15949678)",Hymenoptera,1978679.15949678,5994633.00685447,"129"
"POINT (5993982.09293703 1977908.77743342)",Hymenoptera,1977908.77743342,5993982.09293703,"45"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5994824.37127749 1979556.42159271)",Hymenoptera,1979556.42159271,5994824.37127749,"178"
"POINT (5995099.12322727 1977472.20808426)",Hymenoptera,1977472.20808426,5995099.12322727,"20"
"POINT (5994476.62349319 1979446.08815731)",Hymenoptera,1979446.08815731,5994476.62349319,"35"
"POINT (5993910.66931083 1978137.96928453)",Hymenoptera,1978137.96928453,5993910.66931083,"5"
"POINT (5994607.95453089 1977952.75200016)",Hymenoptera,1977952.75200016,5994607.95453089,"31"
"POINT (5994607.95453089 1977952.75200016)",Hymenoptera,1977952.75200016,5994607.95453089,"31"
"POINT (5995099.12322727 1977472.20808426)",Hymenoptera,1977472.20808426,5995099.12322727,"20"
"POINT (5995099.12322727 1977472.20808426)",Hymenoptera,1977472.20808426,5995099.12322727,"20"
"POINT (5995099.12322727 1977472.20808426)",Hymenoptera,1977472.20808426,5995099.12322727,"20"
"POINT (5995099.12322727 1977472.20808426)",Hymenoptera,1977472.20808426,5995099.12322727,"20"
"POINT (5995099.12322727 1977472.20808426)",Hymenoptera,1977472.20808426,5995099.12322727,"20"
"POINT (5995099.12322727 1977472.20808426)",Hymenoptera,1977472.20808426,5995099.12322727,"20"
"POINT (5995099.12322727 1977472.20808426)",Hymenoptera,1977472.20808426,5995099.12322727,"20"
"POINT (5995030.12287891 1977799.26348703)",Hymenoptera,1977799.26348703,5995030.12287891,"20"
"POINT (5995030.12287891 1977799.26348703)",Hymenoptera,1977799.26348703,5995030.12287891,"20"
"POINT (5995030.12287891 1977799.26348703)",Hymenoptera,1977799.26348703,5995030.12287891,"20"
"POINT (5995030.12287891 1977799.26348703)",Hymenoptera,1977799.26348703,5995030.12287891,"20"
"POINT (5995030.12287891 1977799.26348703)",Hymenoptera,1977799.26348703,5995030.12287891,"20"
"POINT (5995030.12287891 1977799.26348703)",Hymenoptera,1977799.26348703,5995030.12287891,"20"
"POINT (5995030.12287891 1977799.26348703)",Hymenoptera,1977799.26348703,5995030.12287891,"20"
"POINT (5995030.12287891 1977799.26348703)",Hymenoptera,1977799.26348703,5995030.12287891,"20"
"POINT (5995030.12287891 1977799.26348703)",Hymenoptera,1977799.26348703,5995030.12287891,"20"
"POINT (5995030.12287891 1977799.26348703)",Hymenoptera,1977799.26348703,5995030.12287891,"20"
"POINT (5995030.12287891 1977799.26348703)",Hymenoptera,1977799.26348703,5995030.12287891,"20"
"POINT (5995030.12287891 1977799.26348703)",Hymenoptera,1977799.26348703,5995030.12287891,"20"
"POINT (5995030.12287891 1977799.26348703)",Hymenoptera,1977799.26348703,5995030.12287891,"20"
"POINT (5995099.12322727 1977472.20808426)",Hymenoptera,1977472.20808426,5995099.12322727,"20"
"POINT (5994977.3341645 1976121.19266513)",Hymenoptera,1976121.19266513,5994977.3341645,"8"
"POINT (5994046.747402 1977608.00766389)",Hymenoptera,1977608.00766389,5994046.747402,"16"
"POINT (5994046.747402 1977608.00766389)",Hymenoptera,1977608.00766389,5994046.747402,"16"
"POINT (5994977.3341645 1976121.19266513)",Hymenoptera,1976121.19266513,5994977.3341645,"8"
"POINT (5993910.66931083 1978137.96928453)",Hymenoptera,1978137.96928453,5993910.66931083,"5"
"POINT (5994977.3341645 1976121.19266513)",Hymenoptera,1976121.19266513,5994977.3341645,"8"
"POINT (5996880.33060482 1979489.65061059)",Hymenoptera,1979489.65061059,5996880.33060482,"2"
"POINT (5994046.747402 1977608.00766389)",Hymenoptera,1977608.00766389,5994046.747402,"16"
"POINT (5995088.25837425 1978440.24444047)",Hymenoptera,1978440.24444047,5995088.25837425,"2"
"POINT (5994607.95453089 1977952.75200016)",Hymenoptera,1977952.75200016,5994607.95453089,"31"
"POINT (5994607.95453089 1977952.75200016)",Hymenoptera,1977952.75200016,5994607.95453089,"31"
"POINT (5995088.25837425 1978440.24444047)",Hymenoptera,1978440.24444047,5995088.25837425,"2"
"POINT (5994607.95453089 1977952.75200016)",Hymenoptera,1977952.75200016,5994607.95453089,"31"
"POINT (5994607.95453089 1977952.75200016)",Hymenoptera,1977952.75200016,5994607.95453089,"31"
"POINT (5994607.95453089 1977952.75200016)",Hymenoptera,1977952.75200016,5994607.95453089,"31"
"POINT (5994607.95453089 1977952.75200016)",Hymenoptera,1977952.75200016,5994607.95453089,"31"
